   
                   covalent structures   
                   -------------------   
   
   You have    105 covalent structures among
  them     14 covalent structures are permissible
  
       [] and {} in front of the structures specifies the quality of the structures.
 1st number in [] specifies intra-atomic bond quality and 2nd number specifies 
 symmetry breaking bond quality. Where {} specifies the overall quality of the structures
 *************************************************************** 
          14  structures are permisible among below          105
str     1) [  0,  0 ]{  3 } R         2    3    4    5    6    7    8    9
str    47) [  0,  0 ]{  2 } -         2    6    3    4    5    8    7    9
str    48) [  0,  0 ]{  2 } -         2    6    3    4    5    9    7    8
str    49) [  0,  0 ]{  2 } -         2    6    3    5    4    7    8    9
str    50) [  0,  0 ]{  2 } -         2    6    3    5    4    8    7    9
str    51) [  0,  0 ]{  2 } -         2    6    3    5    4    9    7    8
str    52) [  0,  0 ]{  2 } -         2    6    3    7    4    5    8    9
str    53) [  0,  0 ]{  1 } -         2    6    3    7    4    8    5    9
str    54) [  0,  0 ]{  1 } -         2    6    3    7    4    9    5    8
str    55) [  0,  0 ]{  2 } -         2    6    3    8    4    5    7    9
str    56) [  0,  0 ]{  1 } -         2    6    3    8    4    7    5    9
str    57) [  0,  0 ]{  1 } -         2    6    3    8    4    9    5    7
str    58) [  0,  0 ]{  2 } -         2    6    3    9    4    5    7    8
str    59) [  0,  0 ]{  1 } -         2    6    3    9    4    7    5    8
str    60) [  0,  0 ]{  1 } -         2    6    3    9    4    8    5    7
str    61) [  0,  0 ]{  2 } R         2    7    3    4    5    6    8    9
str    62) [  0,  0 ]{  2 } -         2    7    3    4    5    8    6    9
str    63) [  0,  0 ]{  2 } -         2    7    3    4    5    9    6    8
str    64) [  0,  0 ]{  2 } -         2    7    3    5    4    6    8    9
str    65) [  0,  0 ]{  2 } -         2    7    3    5    4    8    6    9
str    66) [  0,  0 ]{  2 } -         2    7    3    5    4    9    6    8
str    67) [  0,  0 ]{  2 } R         2    7    3    6    4    5    8    9
str    68) [  0,  0 ]{  1 } -         2    7    3    6    4    8    5    9
str    69) [  0,  0 ]{  1 } -         2    7    3    6    4    9    5    8
str    70) [  0,  0 ]{  2 } -         2    7    3    8    4    5    6    9
str    71) [  0,  0 ]{  1 } -         2    7    3    8    4    6    5    9
str    72) [  0,  0 ]{  1 } -         2    7    3    8    4    9    5    6
str    73) [  0,  0 ]{  2 } -         2    7    3    9    4    5    6    8
str    74) [  0,  0 ]{  1 } -         2    7    3    9    4    6    5    8
str    75) [  0,  0 ]{  1 } -         2    7    3    9    4    8    5    6
str    76) [  0,  0 ]{  2 } -         2    8    3    4    5    6    7    9
str    77) [  0,  0 ]{  2 } -         2    8    3    4    5    7    6    9
str    78) [  0,  0 ]{  2 } -         2    8    3    4    5    9    6    7
str    79) [  0,  0 ]{  2 } -         2    8    3    5    4    6    7    9
str    80) [  0,  0 ]{  2 } -         2    8    3    5    4    7    6    9
str    81) [  0,  0 ]{  2 } -         2    8    3    5    4    9    6    7
str    82) [  0,  0 ]{  2 } -         2    8    3    6    4    5    7    9
str    83) [  0,  0 ]{  1 } -         2    8    3    6    4    7    5    9
str    84) [  0,  0 ]{  1 } -         2    8    3    6    4    9    5    7
str    85) [  0,  0 ]{  2 } -         2    8    3    7    4    5    6    9
str    86) [  0,  0 ]{  1 } -         2    8    3    7    4    6    5    9
str    87) [  0,  0 ]{  1 } -         2    8    3    7    4    9    5    6
str    88) [  0,  0 ]{  2 } -         2    8    3    9    4    5    6    7
str    89) [  0,  0 ]{  1 } -         2    8    3    9    4    6    5    7
str    90) [  0,  0 ]{  1 } -         2    8    3    9    4    7    5    6
str    91) [  0,  0 ]{  2 } R         2    9    3    4    5    6    7    8
str    92) [  0,  0 ]{  2 } -         2    9    3    4    5    7    6    8
str    93) [  0,  0 ]{  2 } R         2    9    3    4    5    8    6    7
str    94) [  0,  0 ]{  2 } -         2    9    3    5    4    6    7    8
str    95) [  0,  0 ]{  2 } -         2    9    3    5    4    7    6    8
str    96) [  0,  0 ]{  2 } -         2    9    3    5    4    8    6    7
str    97) [  0,  0 ]{  2 } R         2    9    3    6    4    5    7    8
str    98) [  0,  0 ]{  1 } -         2    9    3    6    4    7    5    8
str    99) [  0,  0 ]{  1 } -         2    9    3    6    4    8    5    7
str   100) [  0,  0 ]{  2 } -         2    9    3    7    4    5    6    8
str   101) [  0,  0 ]{  1 } -         2    9    3    7    4    6    5    8
str   102) [  0,  0 ]{  1 } -         2    9    3    7    4    8    5    6
str   103) [  0,  0 ]{  2 } R         2    9    3    8    4    5    6    7
str   104) [  0,  0 ]{  1 } -         2    9    3    8    4    6    5    7
str   105) [  0,  0 ]{  1 } R         2    9    3    8    4    7    5    6
